Company_Name,CEO_Name,Industry,Company_Sector,Country,City,Founded_Year,Employee_Count,Male_Employees,Female_Employees,Last_Year_Hirings,Hiring_Rate (%),Average_Salary_LPA,Annual_Revenue_INR_Crores,Company_Shares_INR
Tata Consultancy Services,K Krithivasan,IT Services,Public,India,Mumbai,1968,203961,99445,104516,10549,5.17,41.85,814963.0,56271.52
Reliance Industries,Mukesh Ambani,Conglomerate,Public,India,Mumbai,1973,285617,173129,112488,3323,1.16,35.63,848536.72,22550.92
Infosys,Salil Parekh,IT Services,Public,India,Bengaluru,1981,26505,18542,7963,18857,71.15,34.87,1267586.51,105042.12
HCLTech,C Vijayakumar,IT Services,Public,India,Noida,1976,148864,100592,48272,17441,11.72,8.53,721520.13,50320.32
Wipro,Srinivas Pallia,IT Services,Public,India,Bengaluru,1945,208436,108447,99989,6631,3.18,27.24,685138.26,97803.5
Larsen & Toubro,S N Subrahmanyan,Engineering,Public,India,Mumbai,1938,53646,33188,20458,17767,33.12,11.88,131892.95,107498.28
Mahindra & Mahindra,Anish Shah,Automobile,Public,India,Mumbai,1945,127097,72381,54716,3802,2.99,33.78,699846.33,37926.86
Adani Enterprises,Gautam Adani,Infrastructure,Public,India,Ahmedabad,1988,217672,106263,111409,1890,0.87,5.28,1082387.92,48015.52
Tencent Holdings,Pony Ma,Technology,Public,China,Shenzhen,1998,62680,34126,28554,9800,15.63,44.85,863090.32,84444.26
Toyota Motor,Koji Sato,Automobile,Public,Japan,Toyota City,1937,117635,60578,57057,8888,7.56,33.29,491066.36,4945.86
Prime Technologies Ltd.,Jennifer Juarez,IT Services,Government,UAE,Dubai,2000,154744,98816,55928,5190,3.35,20.5,23300.32,187475.7
Summit Solutions Ltd.,Phyllis Allen,IT Services,MNC,Malaysia,Kuala Lumpur,1962,132095,66184,65911,7786,5.89,18.84,583844.37,364938.42
Evergreen Logistics Ltd.,Krystal Franklin,Healthcare,Public,Thailand,Bangkok,2020,129982,78207,51775,10400,8.0,39.44,611581.95,49193.72
Evergreen Logistics Ltd.,Veronica Johnson,Telecom,Private,Singapore,Singapore,1961,168578,108321,60257,25173,14.93,21.16,552918.34,111554.04
Vertex Manufacturing Ltd.,Sandra Williams,IT Services,MNC,South Korea,Seoul,1981,56934,26291,30643,6380,11.21,16.16,352013.48,239775.74
Apex Industries Ltd.,Sydney Norris,Retail,Public,Thailand,Bangkok,1988,14942,7716,7226,644,4.31,36.72,407052.53,35788.04
Summit Group Ltd.,Steven Orr,Retail,Private,Singapore,Singapore,1959,61064,36824,24240,7286,11.93,16.34,102934.09,118973.26
Summit Manufacturing Ltd.,Karen Stone,Logistics,Private,Japan,Tokyo,1985,40541,19090,21451,2217,5.47,23.67,206240.64,186213.22
Horizon Retail Ltd.,Brianna Smith,Manufacturing,Public,South Korea,Seoul,1975,2942,1674,1268,521,17.71,10.26,162958.56,61251.78
Prime Healthcare Ltd.,Kelly Burnett,Energy,Startup,China,Beijing,1998,145028,99393,45635,19889,13.71,11.21,167583.04,365896.46
Pioneer Healthcare Ltd.,Peter Roberts,Retail,MNC,Thailand,Bangkok,2006,158732,92187,66545,30781,19.39,31.88,540554.03,289359.04
Horizon Healthcare Ltd.,Kimberly Guerra,Healthcare,Public,Japan,Tokyo,1986,177117,111135,65982,8174,4.62,20.27,388318.47,5797.26
Vertex Holdings Ltd.,Derek Serrano,Retail,MNC,Vietnam,Ho Chi Minh City,2006,26392,17214,9178,15,0.06,20.83,459765.29,236270.38
BlueSky Manufacturing Ltd.,Mallory Gallegos,Energy,Public,Taiwan,Taipei,2020,147989,96419,51570,20206,13.65,20.28,394608.33,57300.94
Evergreen Technologies Ltd.,Richard Carpenter,Energy,Startup,Taiwan,Taipei,1975,104036,66401,37635,8933,8.59,31.19,63251.37,234701.74
Pacific Industries Ltd.,Tyrone Williamson,IT Services,Government,UAE,Dubai,2017,133226,62888,70338,25599,19.21,35.9,635343.75,79076.14
Evergreen Group Ltd.,Lisa Chaney,Telecom,Private,Indonesia,Jakarta,1976,59147,26827,32320,8186,13.84,34.18,434860.03,291715.44
Evergreen Technologies Ltd.,William Dalton,IT Services,Startup,Thailand,Bangkok,1982,187444,107598,79846,23703,12.65,9.28,675441.08,150789.82
Summit Energy Ltd.,William Mendoza,Logistics,Private,China,Beijing,1967,129500,66829,62671,6273,4.84,13.4,555406.4,294510.44
Evergreen Holdings Ltd.,Michael Rich,IT Services,MNC,Thailand,Bangkok,2018,88806,61899,26907,15232,17.15,37.02,630691.15,428047.8
Vertex Manufacturing Ltd.,Christopher Wilson,Energy,Private,Malaysia,Kuala Lumpur,1986,27575,16887,10688,221,0.8,29.62,524811.82,91281.26
Summit Healthcare Ltd.,Ivan Crawford Jr.,Healthcare,Public,UAE,Dubai,2013,64725,30747,33978,10122,15.64,32.08,63528.46,45278.14
BlueSky Solutions Ltd.,Rachael Lopez,Manufacturing,Startup,Malaysia,Kuala Lumpur,1957,188676,93081,95595,31266,16.57,33.57,590432.4,110684.58
BlueSky Foods Ltd.,Nancy Allen,Manufacturing,Public,Thailand,Bangkok,1990,42369,22200,20169,8215,19.39,19.65,630391.95,15179.86
Pioneer Manufacturing Ltd.,Daniel Hamilton,Manufacturing,Private,Singapore,Singapore,1957,56800,34414,22386,3382,5.95,12.16,483563.21,106007.04
Vertex Manufacturing Ltd.,Alexandra Black,Banking,Government,Vietnam,Ho Chi Minh City,1989,119643,69013,50630,16168,13.51,32.87,681176.67,300067.76
